Source Volt (V),Voltmeter (V),Ampmeter (mA),volt_unc,amp_unc
-1.4,-1.4,-0.00001,0.0077,0.000000052
-1.3,-1.3,-0.00001,0.00765,0.000000052
-1.2,-1.2,-0.00001,0.0076,0.000000052
-1.1,-1.1,-0.00001,0.00755,0.000000052
-1,-1,-0.00001,0.0075,0.000000052
-0.9,-0.9,-0.00001,0.00745,0.000000052
-0.8,-0.8,-0.00001,0.0074,0.000000052
-0.7,-0.7,-0.00001,0.00735,0.000000052
-0.6,-0.6,-0.00001,0.0073,0.000000052
-0.5,-0.5,-0.00001,0.00725,0.000000052
-0.4,-0.4,-0.00001,0.0072,0.000000052
-0.1,-0.1,-0.00001,0.00705,0.000000052
0,0.0004,0,0.0000202,0.00000005
0.1,0.1002,0.001,0.0001001,0.00000025
0.4,0.3998,0.009,0.0006999,0.00000185
0.5,0.5000,0.114,0.00075,0.00002285
0.6,0.5979,0.955,0.00079895,0.0001915
0.7,0.6863,6.063,0.00084315,0.0012176
0.8,0.748,23.974,0.000874,0.0047998
0.9,0.7823,53.91,0.00089115,0.010787
1,0.8023,90.53,0.00090115,0.018156
1.1,0.8159,129.54,0.00090795,0.025958
1.2,0.8256,170.11,0.0009128,0.034072
1.3,0.8328,211.31,0.0009164,0.042312
1.4,0.8389,252.5,0.00091945,0.05055
