MM1 (A),MM2 (V),PS (V),PathDiam (cm),MM1_unc,MM2_unc,PS_unc,PathDiam_unc(cm)
-1.0891,209.952,209.9,11.7,0.0003,0.01,0.8,0.1
-1.0884,199.953,199.9,11.4,0.0003,0.01,0.7,0.1
-1.0880,189.956,189.8,11.3,0.0003,0.01,0.7,0.1
-1.0903,179.951,179.8,11,0.0003,0.01,0.7,0.1
-1.0921,169.956,169.8,10.6,0.0003,0.01,0.7,0.1
-1.0899,159.95,159.8,10.3,0.0003,0.01,0.7,0.1
-1.0858,149.959,149.8,9.9,0.0004,0.01,0.6,0.1
-1.0851,139.971,139.9,9.5,0.0004,0.009,0.6,0.1
-1.0848,129.967,129.8,9.2,0.0004,0.009,0.6,0.1
-1.0831,119.959,119.8,8.7,0.0004,0.008,0.6,0.1
-1.0836,110.945,110.8,8.1,0.0004,0.008,0.6,0.1
-1.0853,99.94,99.8,7.5,0.0004,0.007,0.5,0.1
-1.0908,89.935,89.8,6.5,0.0003,0.006,0.5,0.1
